0.00 0
0.10 0
0.20 0
0.30 0
0.40 0
0.50 0
0.60 0
0.70 0
0.80 0
0.90 0
1.00 0
1.10 0
1.20 0
1.30 0
1.40 0
1.50 0
1.60 0
1.70 0
1.80 0
1.90 0
2.00 0
2.10 0
2.20 0
2.30 0
2.40 0
2.50 0
2.60 0
2.70 0
2.80 0
2.90 0
3.00 0
3.10 0
3.20 0
3.30 0
3.40 1
3.50 0
3.60 0
3.70 0
3.80 0
3.90 0
4.00 0
4.10 0
4.20 0
4.30 0
4.40 0
4.50 0
4.60 0
4.70 0
4.80 0
4.90 0
5.00 0
5.10 0
5.20 0
5.30 0
5.40 0
5.50 0
5.60 0
5.70 0
5.80 0
5.90 0
6.00 0
6.10 1
6.20 0
6.30 0
6.40 0
6.50 0
6.60 0
6.70 0
6.80 0
6.90 0
7.00 0
7.10 0
7.20 0
7.30 0
7.40 0
7.50 0
7.60 0
7.70 0
7.80 0
7.90 0
8.00 0
8.10 0
8.20 0
8.30 0
8.40 0
8.50 0
8.60 0
8.70 0
8.80 0
8.90 1
9.00 0
9.10 0
9.20 0
9.30 0
9.40 0
9.50 10
9.60 14
9.70 144
9.80 2512
9.90 6329
